ID,Accession,RPM,Chromosome,Start,End,Strand,Confidence,Fetch
"hsa-let-7a-1",MI0000060,"4.85e+04",chr9,94175957,94176036,"+","",""
"hsa-let-7a-2",MI0000061,"3.92e+04",chr11,122146522,122146593,"-","",""
"hsa-let-7a-3",MI0000062,"3.89e+04",chr22,46112749,46112822,"+","",""
"hsa-let-7b",MI0000063,"2.65e+04",chr22,46113686,46113768,"+","",""
"hsa-let-7c",MI0000064,"3.3e+04",chr21,16539828,16539911,"+","-",""
"hsa-let-7d",MI0000065,"8.98e+03",chr9,94178834,94178920,"+","",""
"hsa-let-7e",MI0000066,"1.2e+04",chr19,51692786,51692864,"+","",""
"hsa-let-7f-1",MI0000067,"4.01e+04",chr9,94176347,94176433,"+","",""
"hsa-let-7f-2",MI0000068,"4.13e+04",chrX,53557192,53557274,"-","",""
"hsa-let-7g",MI0000433,"9e+03",chr3,52268278,52268361,"-","",""
"hsa-let-7i",MI0000434,"9.01e+03",chr12,62603686,62603769,"+","-",""
"hsa-mir-1-1",MI0000651,"6.42e+03",chr20,62554306,62554376,"+","",""
"hsa-mir-1-2",MI0000437,"1.57e+04",chr18,21829004,21829088,"-","-",""
"hsa-mir-7-1",MI0000263,"2.6e+03",chr9,83969748,83969857,"-","",""
"hsa-mir-7-2",MI0000264,"2.3e+03",chr15,88611825,88611934,"+","-",""
"hsa-mir-7-3",MI0000265,"2.29e+03",chr19,4770670,4770779,"+","-",""
"hsa-mir-9-1",MI0000466,"2.14e+03",chr1,156420341,156420429,"-","",""
"hsa-mir-9-2",MI0000467,"2.15e+03",chr5,88666853,88666939,"-","",""
"hsa-mir-9-3",MI0000468,"2.7e+03",chr15,89368017,89368106,"+","",""
"hsa-mir-10a",MI0000266,"4.94e+03",chr17,48579838,48579947,"-","",""
"hsa-mir-10b",MI0000267,"7.2e+03",chr2,176150303,176150412,"+","",""
"hsa-mir-15a",MI0000069,"2.93e+03",chr13,50049119,50049201,"-","",""
"hsa-mir-15b",MI0000438,"7.14e+03",chr3,160404588,160404685,"+","",""
"hsa-mir-16-1",MI0000070,"3.93e+03",chr13,50048973,50049061,"-","",""
"hsa-mir-16-2",MI0000115,"4.32e+03",chr3,160404745,160404825,"+","",""
"hsa-mir-17",MI0000071,"7.38e+03",chr13,91350605,91350688,"+","",""
"hsa-mir-18a",MI0000072,"1.28e+03",chr13,91350751,91350821,"+","",""
"hsa-mir-18b",MI0001518,"1.03e+03",chrX,134170041,134170111,"-","-",""
"hsa-mir-19a",MI0000073,"3.33e+03",chr13,91350891,91350972,"+","",""
"hsa-mir-19b-1",MI0000074,"4.85e+03",chr13,91351192,91351278,"+","",""
"hsa-mir-19b-2",MI0000075,"4.86e+03",chrX,134169671,134169766,"-","",""
"hsa-mir-20a",MI0000076,"4.21e+03",chr13,91351065,91351135,"+","",""
"hsa-mir-20b",MI0001519,"1.3e+03",chrX,134169809,134169877,"-","",""
"hsa-mir-21",MI0000077,"2.56e+04",chr17,59841266,59841337,"+","-",""
"hsa-mir-22",MI0000078,"3.85e+03",chr17,1713903,1713987,"-","",""
"hsa-mir-23a",MI0000079,"1.69e+04",chr19,13836587,13836659,"-","",""
"hsa-mir-23b",MI0000439,"1.67e+04",chr9,95085208,95085304,"+","-",""
"hsa-mir-23c",MI0016010,"3.53e+03",chrX,20017088,20017187,"-","-",""
"hsa-mir-24-1",MI0000080,"5.34e+03",chr9,95086021,95086088,"+","-",""
"hsa-mir-24-2",MI0000081,"6.35e+03",chr19,13836287,13836359,"-","-",""
"hsa-mir-25",MI0000082,"1.02e+04",chr7,100093560,100093643,"-","",""
"hsa-mir-26a-1",MI0000083,"1.03e+04",chr3,37969404,37969480,"+","",""
"hsa-mir-26a-2",MI0000750,"9.82e+03",chr12,57824609,57824692,"-","",""
"hsa-mir-26b",MI0000084,"5.2e+03",chr2,218402646,218402722,"+","-",""
"hsa-mir-27a",MI0000085,"7.56e+03",chr19,13836440,13836517,"-","",""
"hsa-mir-27b",MI0000440,"1.02e+04",chr9,95085445,95085541,"+","",""
"hsa-mir-28",MI0000086,"4.94e+03",chr3,188688781,188688866,"+","",""
"hsa-mir-29a",MI0000087,"1.09e+04",chr7,130876747,130876810,"-","",""
"hsa-mir-29b-1",MI0000105,"6.19e+03",chr7,130877459,130877539,"-","",""
"hsa-mir-29b-2",MI0000107,"6.13e+03",chr1,207802443,207802523,"-","-",""
"hsa-mir-29c",MI0000735,"8.57e+03",chr1,207801852,207801939,"-","-",""
"hsa-mir-30a",MI0000088,"1.07e+04",chr6,71403551,71403621,"-","",""
"hsa-mir-30b",MI0000441,"2.22e+03",chr8,134800520,134800607,"-","",""
"hsa-mir-30c-1",MI0000736,"2.95e+03",chr1,40757284,40757372,"+","",""
"hsa-mir-30c-2",MI0000254,"2.83e+03",chr6,71376960,71377031,"-","",""
"hsa-mir-30d",MI0000255,"6.9e+03",chr8,134804876,134804945,"-","",""
"hsa-mir-30e",MI0000749,"8.1e+03",chr1,40754355,40754446,"+","",""
"hsa-mir-31",MI0000089,"3.89e+03",chr9,21512115,21512185,"-","",""
"hsa-mir-32",MI0000090,729,chr9,109046229,109046298,"-","",""
"hsa-mir-33a",MI0000091,"1.12e+03",chr22,41900944,41901012,"+","",""
"hsa-mir-33b",MI0003646,269,chr17,17813836,17813931,"-","",""
"hsa-mir-34a",MI0000268,"1.13e+03",chr1,9151668,9151777,"-","",""
"hsa-mir-34b",MI0000742,792,chr11,111512938,111513021,"+","",""
"hsa-mir-34c",MI0000743,"1.36e+03",chr11,111513439,111513515,"+","",""
"hsa-mir-92a-1",MI0000093,"7.52e+03",chr13,91351314,91351391,"+","",""
"hsa-mir-92a-2",MI0000094,"6.11e+03",chrX,134169538,134169612,"-","",""
"hsa-mir-92b",MI0003560,"3.33e+03",chr1,155195177,155195272,"+","",""
"hsa-mir-93",MI0000095,"1.95e+03",chr7,100093768,100093847,"-","",""
"hsa-mir-95",MI0000097,"1.06e+03",chr4,8005301,8005381,"-","-",""
"hsa-mir-96",MI0000098,685,chr7,129774692,129774769,"-","",""
"hsa-mir-98",MI0000100,"4.35e+03",chrX,53556223,53556341,"-","",""
"hsa-mir-99a",MI0000101,"3.4e+03",chr21,16539089,16539169,"+","",""
"hsa-mir-99b",MI0000746,"1.66e+03",chr19,51692612,51692681,"+","",""
"hsa-mir-100",MI0000102,"2.8e+03",chr11,122152229,122152308,"-","",""
"hsa-mir-101-1",MI0000103,"4.43e+03",chr1,65058434,65058508,"-","",""
"hsa-mir-101-2",MI0000739,"4.64e+03",chr9,4850297,4850375,"+","-",""
"hsa-mir-103a-1",MI0000109,"3.7e+04",chr5,168560896,168560973,"-","-",""
"hsa-mir-103a-2",MI0000108,"3.7e+04",chr20,3917494,3917571,"+","",""
"hsa-mir-103b-1",MI0007261,22.4,chr5,168560904,168560965,"+","-",""
